2023-12-07 10:35:48 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.common.record.RecordImplTest', methodName='parseAndReturnRecord'}=TestCaseResult{TestState='NOTEST', usageTime='1856'}, TestCase{className='com.univocity.parsers.common.record.RecordImplTest', methodName='testUnivocityNull'}=TestCaseResult{TestState='PASS', usageTime='1907'}, TestCase{className='com.univocity.parsers.common.record.RecordImplTest', methodName='testReuseAndHeaders'}=TestCaseResult{TestState='NOTEST', usageTime='1868'}}
2023-12-07 10:35:48 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:35:48 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:18
2023-12-07 10:35:48 [main] INFO  org.regminer.miner.BFCEvaluator - d1137a44b5c72c2834f338d1dddeb058e45f24a2 checkout 
2023-12-07 10:35:48 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:quoting values of the first column that start with the comment character in the CSV writer
2023-12-07 10:36:02 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.issues.github.Github_362', methodName='testCommentCharWriting'}=TestCaseResult{TestState='FAL', usageTime='2859'}}
2023-12-07 10:36:02 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:36:02 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:19
2023-12-07 10:36:02 [main] INFO  org.regminer.miner.BFCEvaluator - c030a0173bee2638c72bf3ecfdaea210063255a1 checkout 
2023-12-07 10:36:02 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Merge pull request #359 from raipc/patch-1
2023-12-07 10:36:05 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:36:05 [main] INFO  org.regminer.miner.BFCEvaluator - d6885612efbbfead1c03f8f4e395be9dffd6a796 checkout 
2023-12-07 10:36:05 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Fixed link to image
2023-12-07 10:36:08 [main] ERROR org.regminer.miner.BFCEvaluator - null
2023-12-07 10:36:08 [main] INFO  org.regminer.miner.BFCEvaluator - 5a2f8d809f20acc7208dede18e8ca72c966e16b3 checkout 
2023-12-07 10:36:08 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Fixed github issue #355
2023-12-07 10:36:20 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.common.record.RecordImplTest', methodName='testUnivocityNull'}=TestCaseResult{TestState='NOTEST', usageTime='1864'}}
2023-12-07 10:36:20 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:36:20 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:20
2023-12-07 10:36:20 [main] INFO  org.regminer.miner.BFCEvaluator - bcdbdb2b550f981210fe64b9cff19b6e4f9c7baf checkout 
2023-12-07 10:36:20 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:ensuring that when multiple delimiters are detected automatically with a list of allowed delimiters, the chosen one will determined by its position.
2023-12-07 10:36:32 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.csv.CsvFormatDetectorTest', methodName='testDelimitersDetectedUsingOrderOfPreference'}=TestCaseResult{TestState='NOTEST', usageTime='1840'}}
2023-12-07 10:36:32 [main] INFO  org.regminer.miner.BFCEvaluator - bfc~1 test fal
2023-12-07 10:36:32 [main] INFO  org.regminer.miner.BFCEvaluator - pRFC total:21
2023-12-07 10:36:32 [main] INFO  org.regminer.miner.BFCEvaluator - f127c376f8d6c7c4a86dcf72fc3d7e254df1626c checkout 
2023-12-07 10:36:32 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:formatting code after merging pull request
2023-12-07 10:36:44 [main] INFO  org.regminer.miner.BFCEvaluator - {TestCase{className='com.univocity.parsers.fixed.FixedWidthParserTest', methodName='testSingleLineParsingWithLookAhead'}=TestCaseResult{TestState='PASS', usageTime='1947'}}
2023-12-07 10:36:44 [main] INFO  org.regminer.miner.BFCEvaluator - Can't find a bfc-1
2023-12-07 10:36:44 [main] INFO  org.regminer.miner.BFCEvaluator - 5f0f8b8b1ceee22e7b4dbf657e2dd03c6a7b6356 checkout 
2023-12-07 10:36:44 [main] INFO  org.regminer.miner.BFCEvaluator - commit message:Merge pull request #345 from cfranzen/feature/FixLookaheadForParseLine
