"_id","clone_url","commit_size","full_name","issue_size","repo_size","status"
"elastic/elasticsearch","https://github.com/elastic/elasticsearch.git","58332","elastic/elasticsearch","68356","812854","false"
"spring-projects/spring-boot","https://github.com/spring-projects/spring-boot.git","31916","spring-projects/spring-boot","25438","133616","false"
"doocs/advanced-java","https://github.com/doocs/advanced-java.git","555","doocs/advanced-java","202","28124","true"
"kdn251/interviews","https://github.com/kdn251/interviews.git","445","kdn251/interviews","93","24091","true"
"macrozheng/mall","https://github.com/macrozheng/mall.git","643","macrozheng/mall","431","57491","true"
"ReactiveX/RxJava","https://github.com/ReactiveX/RxJava.git","5869","ReactiveX/RxJava","6585","126855","false"
"spring-projects/spring-framework","https://github.com/spring-projects/spring-framework.git","22410","spring-projects/spring-framework","22839","167273","false"
"google/guava","https://github.com/google/guava.git","5491","google/guava","3432","320475","false"
"square/okhttp","https://github.com/square/okhttp.git","4837","square/okhttp","6436","40354","true"
"square/retrofit","https://github.com/square/retrofit.git","1865","square/retrofit","3365","5508","true"
"TheAlgorithms/Java","https://github.com/TheAlgorithms/Java.git","1335","TheAlgorithms/Java","1428","2465","true"
"apache/dubbo","https://github.com/apache/dubbo.git","4648","apache/dubbo","6652","31084","true"
"PhilJay/MPAndroidChart","https://github.com/PhilJay/MPAndroidChart.git","2068","PhilJay/MPAndroidChart","3166","21625","true"
"kon9chunkit/GitHub-Chinese-Top-Charts","https://github.com/kon9chunkit/GitHub-Chinese-Top-Charts.git","78","kon9chunkit/GitHub-Chinese-Top-Charts","51","3892","false"
"bumptech/glide","https://github.com/bumptech/glide.git","2579","bumptech/glide","4276","90949","true"
"airbnb/lottie-android","https://github.com/airbnb/lottie-android.git","1290","airbnb/lottie-android","1736","134874","false"
"Blankj/AndroidUtilCode","https://github.com/Blankj/AndroidUtilCode.git","1317","Blankj/AndroidUtilCode","1406","47036","true"
"zxing/zxing","https://github.com/zxing/zxing.git","3582","zxing/zxing","1352","240549","false"
"netty/netty","https://github.com/netty/netty.git","10273","netty/netty","10647","68160","true"
"crossoverJie/JCSprout","https://github.com/crossoverJie/JCSprout.git","706","crossoverJie/JCSprout","156","1182","true"
"NationalSecurityAgency/ghidra","https://github.com/NationalSecurityAgency/ghidra.git","4341","NationalSecurityAgency/ghidra","1755","126830","false"
"geekxh/hello-algorithm","https://github.com/geekxh/hello-algorithm.git","367","geekxh/hello-algorithm","57","363929","false"
"JakeWharton/butterknife","https://github.com/JakeWharton/butterknife.git","1016","JakeWharton/butterknife","1531","3909","true"
"skylot/jadx","https://github.com/skylot/jadx.git","1455","skylot/jadx","981","16548","true"
"proxyee-down-org/proxyee-down","https://github.com/proxyee-down-org/proxyee-down.git","474","proxyee-down-org/proxyee-down","33","26858","true"
"eugenp/tutorials","https://github.com/eugenp/tutorials.git","21944","eugenp/tutorials","10618","323233","false"
"alibaba/arthas","https://github.com/alibaba/arthas.git","1519","alibaba/arthas","1587","23010","true"
"ityouknow/spring-boot-examples","https://github.com/ityouknow/spring-boot-examples.git","172","ityouknow/spring-boot-examples","135","1020","false"
