"_id","clone_url","commit_size","full_name","gradle_num","issue_size","pom_num","repo_size","status","tesfile_num"
"JodaOrg/joda-time","https://github.com/JodaOrg/joda-time.git","2174","JodaOrg/joda-time","0","525","1","11151","true","159"
"btraceio/btrace","https://github.com/btraceio/btrace.git","1209","btraceio/btrace","15","450","0","16548","true","247"
"uber/NullAway","https://github.com/uber/NullAway.git","377","uber/NullAway","15","392","0","2364","true","91"
"cglib/cglib","https://github.com/cglib/cglib.git","860","cglib/cglib","0","113","6","4941","true","75"
"spring-projects/spring-data-examples","https://github.com/spring-projects/spring-data-examples.git","551","spring-projects/spring-data-examples","1","582","93","10412","true","163"
"Netflix/ribbon","https://github.com/Netflix/ribbon.git","895","Netflix/ribbon","12","275","0","3335","true","111"
"JanusGraph/janusgraph","https://github.com/JanusGraph/janusgraph.git","6307","JanusGraph/janusgraph","0","2061","30","54882","true","331"
"bitcoinj/bitcoinj","https://github.com/bitcoinj/bitcoinj.git","3588","bitcoinj/bitcoinj","5","1740","0","21977","true","95"
"lettuce-io/lettuce-core","https://github.com/lettuce-io/lettuce-core.git","2094","lettuce-io/lettuce-core","0","1646","1","18891","true","367"
"roboguice/roboguice","https://github.com/roboguice/roboguice.git","1054","roboguice/roboguice","0","203","22","70278","true","231"
"apache/rocketmq-externals","https://github.com/apache/rocketmq-externals.git","837","apache/rocketmq-externals","0","635","33","34232","true","134"
"powermock/powermock","https://github.com/powermock/powermock.git","1619","powermock/powermock","9","691","0","5926","true","664"
"sofastack/sofa-rpc","https://github.com/sofastack/sofa-rpc.git","381","sofastack/sofa-rpc","0","968","62","3116","true","551"
"tuguangquan/mybatis","https://github.com/tuguangquan/mybatis.git","1447","tuguangquan/mybatis","0","8","1","50814","true","575"
"runelite/runelite","https://github.com/runelite/runelite.git","10455","runelite/runelite","0","11495","11","38067","true","158"
"web3j/web3j","https://github.com/web3j/web3j.git","1563","web3j/web3j","22","1248","0","8325","true","135"
"traccar/traccar","https://github.com/traccar/traccar.git","6638","traccar/traccar","1","3288","1","16573","true","346"
"jenkinsci/blueocean-plugin","https://github.com/jenkinsci/blueocean-plugin.git","4185","jenkinsci/blueocean-plugin","0","2067","28","29443","true","210"
"chennaione/sugar","https://github.com/chennaione/sugar.git","483","chennaione/sugar","3","522","0","9679","true","94"
"JCTools/JCTools","https://github.com/JCTools/JCTools.git","988","JCTools/JCTools","0","303","7","7579","true","142"
"jacoco/jacoco","https://github.com/jacoco/jacoco.git","1710","jacoco/jacoco","0","1058","69","10448","true","373"
"pushtorefresh/storio","https://github.com/pushtorefresh/storio.git","1073","pushtorefresh/storio","15","874","0","4427","true","366"
"spring-cloud/spring-cloud-kubernetes","https://github.com/spring-cloud/spring-cloud-kubernetes.git","939","spring-cloud/spring-cloud-kubernetes","0","715","48","3674","true","133"
"google/nomulus","https://github.com/google/nomulus.git","3485","google/nomulus","12","1028","0","70712","true","734"
"torakiki/pdfsam","https://github.com/torakiki/pdfsam.git","1211","torakiki/pdfsam","0","392","15","10758","true","249"
"eclipse/paho.mqtt.java","https://github.com/eclipse/paho.mqtt.java.git","846","eclipse/paho.mqtt.java","0","642","10","6079","true","120"
"spring-cloud/spring-cloud-sleuth","https://github.com/spring-cloud/spring-cloud-sleuth.git","2991","spring-cloud/spring-cloud-sleuth","0","1865","36","88432","true","292"
"functionaljava/functionaljava","https://github.com/functionaljava/functionaljava.git","1115","functionaljava/functionaljava","9","395","0","3483","true","111"
"flutter/flutter-intellij","https://github.com/flutter/flutter-intellij.git","2522","flutter/flutter-intellij","4","4870","0","80076","true","93"
"dcevm/dcevm","https://github.com/dcevm/dcevm.git","234","dcevm/dcevm","2","153","0","1802","true","75"
"galenframework/galen","https://github.com/galenframework/galen.git","1555","galenframework/galen","0","489","6","9067","true","105"
"java-json-tools/json-schema-validator","https://github.com/java-json-tools/json-schema-validator.git","2791","java-json-tools/json-schema-validator","1","227","0","19566","true","110"
"Netflix/servo","https://github.com/Netflix/servo.git","1273","Netflix/servo","8","462","0","5389","true","71"
"RuedigerMoeller/fast-serialization","https://github.com/RuedigerMoeller/fast-serialization.git","773","RuedigerMoeller/fast-serialization","0","225","1","5379","true","97"
"atomashpolskiy/bt","https://github.com/atomashpolskiy/bt.git","918","atomashpolskiy/bt","0","109","12","87176","true","109"
"classgraph/classgraph","https://github.com/classgraph/classgraph.git","4658","classgraph/classgraph","0","504","1","27028","true","179"
"assertj/assertj-core","https://github.com/assertj/assertj-core.git","3252","assertj/assertj-core","0","2040","4","34004","true","3736"
"FasterXML/jackson-core","https://github.com/FasterXML/jackson-core.git","2497","FasterXML/jackson-core","0","636","1","20549","true","160"
"internetarchive/heritrix3","https://github.com/internetarchive/heritrix3.git","2177","internetarchive/heritrix3","0","320","6","10328","true","139"
"real-logic/agrona","https://github.com/real-logic/agrona.git","2073","real-logic/agrona","1","233","0","3860","true","75"
"speedment/speedment","https://github.com/speedment/speedment.git","4752","speedment/speedment","0","837","57","26275","true","825"
"rsocket/rsocket-java","https://github.com/rsocket/rsocket-java.git","1233","rsocket/rsocket-java","10","965","0","5469","true","153"
"apache/mahout","https://github.com/apache/mahout.git","4499","apache/mahout","0","406","19","67391","true","316"
"ratpack/ratpack","https://github.com/ratpack/ratpack.git","6090","ratpack/ratpack","4","1399","0","25285","true","78"
"apache/activemq","https://github.com/apache/activemq.git","10840","apache/activemq","0","614","56","56994","true","2134"
"ninjaframework/ninja","https://github.com/ninjaframework/ninja.git","2124","ninjaframework/ninja","0","595","23","44443","true","234"
"Sayi/poi-tl","https://github.com/Sayi/poi-tl.git","498","Sayi/poi-tl","0","526","1","76558","true","99"
"yidongnan/grpc-spring-boot-starter","https://github.com/yidongnan/grpc-spring-boot-starter.git","877","yidongnan/grpc-spring-boot-starter","21","457","0","2416","true","93"
"diffplug/spotless","https://github.com/diffplug/spotless.git","2628","diffplug/spotless","12","755","0","10645","true","142"
"apache/servicecomb-pack","https://github.com/apache/servicecomb-pack.git","1594","apache/servicecomb-pack","0","649","70","15138","true","120"
"awslabs/djl","https://github.com/awslabs/djl.git","2610","awslabs/djl","38","689","1","19462","true","201"
"elastic/elasticsearch-hadoop","https://github.com/elastic/elasticsearch-hadoop.git","2034","elastic/elasticsearch-hadoop","17","1513","0","8779","true","229"
"goldmansachs/gs-collections","https://github.com/goldmansachs/gs-collections.git","912","goldmansachs/gs-collections","0","40","18","12928","true","1604"
"linkedin/cruise-control","https://github.com/linkedin/cruise-control.git","716","linkedin/cruise-control","2","1433","0","8662","true","117"
"Netflix/Priam","https://github.com/Netflix/Priam.git","1432","Netflix/Priam","5","882","0","13071","true","70"
"intuit/wasabi","https://github.com/intuit/wasabi.git","1084","intuit/wasabi","0","300","30","19431","true","384"
"serso/android-checkout","https://github.com/serso/android-checkout.git","409","serso/android-checkout","3","157","0","2110","true","36"
"hyperledger/fabric-sdk-java","https://github.com/hyperledger/fabric-sdk-java.git","498","hyperledger/fabric-sdk-java","2","119","1","5695","true","63"
"influxdata/influxdb-java","https://github.com/influxdata/influxdb-java.git","1096","influxdata/influxdb-java","0","653","1","1454","true","30"
"Discord4J/Discord4J","https://github.com/Discord4J/Discord4J.git","3313","Discord4J/Discord4J","6","844","0","21628","true","59"
"spring-projects/spring-restdocs","https://github.com/spring-projects/spring-restdocs.git","960","spring-projects/spring-restdocs","17","666","1","4762","true","171"
"Netflix/hollow","https://github.com/Netflix/hollow.git","975","Netflix/hollow","9","421","0","21317","true","210"
"rabbitmq/rabbitmq-java-client","https://github.com/rabbitmq/rabbitmq-java-client.git","4405","rabbitmq/rabbitmq-java-client","0","653","1","56941","true","158"
"resteasy/Resteasy","https://github.com/resteasy/Resteasy.git","4684","resteasy/Resteasy","0","2639","69","55536","true","3033"
"bramp/ffmpeg-cli-wrapper","https://github.com/bramp/ffmpeg-cli-wrapper.git","322","bramp/ffmpeg-cli-wrapper","0","137","1","2772","true","35"
"cloudera/flume","https://github.com/cloudera/flume.git","389","cloudera/flume","0","10","11","47820","true","203"
"blox/blox","https://github.com/blox/blox.git","341","blox/blox","15","351","0","5805","true","84"
"tony19/logback-android","https://github.com/tony19/logback-android.git","4238","tony19/logback-android","2","209","0","51799","true","382"
"aol/micro-server","https://github.com/aol/micro-server.git","988","aol/micro-server","43","382","0","8327","true","612"
"pgjdbc/pgjdbc","https://github.com/pgjdbc/pgjdbc.git","2813","pgjdbc/pgjdbc","6","1786","1","18586","true","221"
"dadoonet/fscrawler","https://github.com/dadoonet/fscrawler.git","1470","dadoonet/fscrawler","0","993","28","13487","true","68"
"leventov/Koloboke","https://github.com/leventov/Koloboke.git","337","leventov/Koloboke","16","33","0","39039","true","101"
"libgdx/gdx-ai","https://github.com/libgdx/gdx-ai.git","396","libgdx/gdx-ai","3","90","0","1457","true","113"
"ff4j/ff4j","https://github.com/ff4j/ff4j.git","1078","ff4j/ff4j","0","472","35","10492","true","279"
